epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,12805.7,1.2137,0.80166,0.98559,0.76661,0.77136,0.80351,0.37745,2.02584,1.20252,1.40595,0.000379743,0.000379743,0.000379743
80,12923,1.17231,0.74313,0.95851,0.71125,0.84704,0.80985,0.34755,1.98871,1.25957,1.35974,0.000363239,0.000363239,0.000363239
81,13037.4,1.21802,0.7817,0.9621,0.68711,0.77976,0.7717,0.32712,2.00102,1.30879,1.38005,0.000346736,0.000346736,0.000346736
82,13138.7,1.15667,0.77778,0.96229,0.67796,0.90476,0.78028,0.35505,2.00723,1.27641,1.39585,0.000330233,0.000330233,0.000330233
83,13244.5,1.14383,0.76602,0.97116,0.6806,0.90476,0.76943,0.35245,2.05567,1.17269,1.39809,0.000313729,0.000313729,0.000313729
84,13343.8,1.15283,0.76253,0.93767,0.69656,0.74635,0.74394,0.30758,2.15305,1.20082,1.44405,0.000297226,0.000297226,0.000297226
85,13441.3,1.14065,0.7541,0.94559,0.71044,0.77643,0.76509,0.31849,2.13569,1.24438,1.43226,0.000280723,0.000280723,0.000280723
86,13532.6,1.12068,0.72394,0.95496,0.68493,0.77249,0.76615,0.33345,2.05148,1.2425,1.41783,0.00026422,0.00026422,0.00026422
87,13623.5,1.13886,0.74798,0.94847,0.68963,0.75595,0.76364,0.33235,2.04032,1.25568,1.39894,0.000247716,0.000247716,0.000247716
88,13718.5,1.08602,0.73725,0.93628,0.63404,0.83868,0.76287,0.33598,2.05677,1.24313,1.40724,0.000231213,0.000231213,0.000231213
89,13831.9,1.0802,0.72639,0.93484,0.73639,0.75644,0.76932,0.35863,2.03689,1.20256,1.43171,0.00021471,0.00021471,0.00021471
90,13923.8,1.064,0.72355,0.94374,0.67118,0.84226,0.77361,0.36204,2.03352,1.17786,1.459,0.000198206,0.000198206,0.000198206
91,14020.7,1.16151,0.79735,0.95561,0.72055,0.80793,0.74836,0.37464,2.01829,1.1544,1.48329,0.000181703,0.000181703,0.000181703
92,14147.8,1.17525,0.81034,0.97493,0.70731,0.80999,0.75984,0.37373,2.03539,1.141,1.48425,0.0001652,0.0001652,0.0001652
93,14283.9,1.11957,0.7501,0.94069,0.71578,0.81267,0.7271,0.3521,2.04511,1.13291,1.46852,0.000148696,0.000148696,0.000148696
94,14391.2,1.11278,0.73966,0.94928,0.70158,0.83423,0.78041,0.37258,2.06003,1.16855,1.45446,0.000132193,0.000132193,0.000132193
95,14485.2,1.07731,0.73017,0.9377,0.67248,0.84226,0.77909,0.36876,2.03602,1.18464,1.4242,0.00011569,0.00011569,0.00011569
96,14580.5,1.07237,0.725,0.92512,0.68122,0.82017,0.76937,0.35976,2.02101,1.18173,1.42385,9.91865e-05,9.91865e-05,9.91865e-05
97,14673.3,0.9961,0.70762,0.92322,0.67785,0.7485,0.76101,0.36239,2.0318,1.20494,1.43226,8.26832e-05,8.26832e-05,8.26832e-05
98,14761.3,1.04649,0.72581,0.90604,0.69667,0.77788,0.76664,0.35459,2.02883,1.21059,1.4324,6.61799e-05,6.61799e-05,6.61799e-05
99,14853.5,0.99114,0.7105,0.90615,0.69794,0.777,0.7576,0.35086,2.04619,1.23758,1.43399,4.96766e-05,4.96766e-05,4.96766e-05
100,14944.3,1.0109,0.69954,0.92838,0.70027,0.77908,0.75061,0.34767,2.05795,1.26044,1.41845,3.31733e-05,3.31733e-05,3.31733e-05
